ac;ac_sn;;;;;;;;;;;;;;;;;;;;;;
09-001;5241;;;;;;;;;;;;;;;;;;;;;;
13-001;33962;;;;;;;;;;;;;;;;;;;;;;
13-002;33963;;;;;;;;;;;;;;;;;;;;;;
13-003;33964;;;;;;;;;;;;;;;;;;;;;;
13-004;33965;;;;;;;;;;;;;;;;;;;;;;
2-AVRA;0115;;;;;;;;;;;;;;;;;;;;;;
2-AVRB;0180;;;;;;;;;;;;;;;;;;;;;;
2-AVRC;0270;;;;;;;;;;;;;;;;;;;;;;
2-AVRD;0331;;;;;;;;;;;;;;;;;;;;;;
2-GULF;1224;;;;;;;;;;;;;;;;;;;;;;
2-PAOK;834;;;;;;;;;;;;;;;;;;;;;;
2-RLAZ;0819;;;;;;;;;;;;;;;;;;;;;;
2-RLBA;0900;;;;;;;;;;;;;;;;;;;;;;
2-TSGC;34957;;;;;;;;;;;;;;;;;;;;;;
3943-OEIFJ;3943;;;;;;;;;;;;;;;;;;;;;;
4813;4813;;;;;;;;;;;;;;;;;;;;;;
4K-LAR;4119;;;;;;;;;;;;;;;;;;;;;;
4X-ABF;4354;;;;;;;;;;;;;;;;;;;;;;
4X-ABG;04413;;;;;;;;;;;;;;;;;;;;;;
4X-ABI;7110;;;;;;;;;;;;;;;;;;;;;;
4X-ABS;2728;;;;;;;;;;;;;;;;;;;;;;
4X-ABT;6200;;;;;;;;;;;;;;;;;;;;;;
5A-DMG;34948;;;;;;;;;;;;;;;;;;;;;;
5A-LAK;4526;;;;;;;;;;;;;;;;;;;;;;
5A-LAQ;5494;;;;;;;;;;;;;;;;;;;;;;
5A-LAR;1412;;;;;;;;;;;;;;;;;;;;;;
5A-ONL;4489;;;;;;;;;;;;;;;;;;;;;;
5A-ONO;5448;;;;;;;;;;;;;;;;;;;;;;
5A-ONR;1535;;;;;;;;;;;;;;;;;;;;;;
5A-OSA;345;;;;;;;;;;;;;;;;;;;;;;
5N-BOT;25713;;;;;;;;;;;;;;;;;;;;;;
5N-BOV;25716;;;;;;;;;;;;;;;;;;;;;;
5N-BOW;25718;;;;;;;;;;;;;;;;;;;;;;
5Y-KZX;42097;;;;;;;;;;;;;;;;;;;;;;
5Y-KZY;41819;;;;;;;;;;;;;;;;;;;;;;
5Y-KZZ;41818;;;;;;;;;;;;;;;;;;;;;;
84-007;550-0502;;;;;;;;;;;;;;;;;;;;;;
84-008;550-0503;;;;;;;;;;;;;;;;;;;;;;
91-003;1163;;;;;;;;;;;;;;;;;;;;;;
9265;A6-ATE;;;;;;;;;;;;;;;;;;;;;;
93-004;650-7024;;;;;;;;;;;;;;;;;;;;;;
93-005;650-7026;;;;;;;;;;;;;;;;;;;;;;
999;0;;;;;;;;;;;;;;;;;;;;;;
